1,blstmp_1_dot_lstm_1,48.6,49.9,37.4,32.1,
2,blstmp_1_add_lstm_1,45.4,41.2,28.2,27.1,
3,blstmp_1_location_lstm_1,46.6,40.8,25.3,25.6,
4,blstmp_1_coverage_lstm_1,44.6,42.1,25.2,26.5,
5,blstmp_1_coverage_location_lstm_1,42.7,39.5,24.9,25.8,
6,blstmp_1_location2d_lstm_1,46.8,47.1,25.3,31,
7,blstmp_1_location_recurrent_lstm_1,47.1,41.8,28.7,27.4,
8,blstmp_1_multi_head_dot_lstm_1,46.2,43.3,36.5,28.2,
9,blstmp_1_multi_head_add_lstm_1,49.7,49,33.9,32.3,
10,blstmp_1_multi_head_loc_lstm_1,45.4,44.8,25.5,27.2,
11,blstmp_1_multi_head_multi_res_loc_lstm_1,46.8,49.8,37.5,31.5,