9,vggbgrup_1_multi_head_add_lstm_1,41.9,0,23.1,0,210
9,vggbgrup_1_multi_head_add_gru_1,44.1,0,35.6,0,211
10,blstmp_1_multi_head_loc_gru_1,45.7,0,25,0,217
10,bgrup_1_multi_head_loc_lstm_1,45.1,0,46.7,0,222
10,bgrup_1_multi_head_loc_gru_1,49.4,0,23.5,0,223
10,vggblstmp_1_multi_head_loc_lstm_1,43.4,0,30.7,0,228
10,vggblstmp_1_multi_head_loc_gru_1,41,0,22.2,0,229
11,blstmp_1_multi_head_multi_res_loc_lstm_1,46.8,49.8,37.5,31.5,240
11,bgrup_1_multi_head_multi_res_loc_lstm_1,45,0,22.7,0,246
11,bgrup_1_multi_head_multi_res_loc_gru_1,39.7,0,36.5,0,249
11,vggblstmp_1_multi_head_multi_res_loc_lstm_1,42.4,0,21.7,0,252
11,blstmp_1_multi_head_multi_res_loc_gru_1,47.1,57.1,37.7,39.1,253
11,vggblstmp_1_multi_head_multi_res_loc_gru_1,43.3,0,32.8,0,253
11,vggbgrup_1_multi_head_multi_res_loc_lstm_1,41.3,0,21.8,0,258
11,vggbgrup_1_multi_head_multi_res_loc_gru_1,42.6,0,29.3,0,259
1,bgrup_1_dot_gru_1,45.6,48.4,30.2,31.4,
2,bgrup_1_add_gru_1,46.5,39,24.6,24.6,
3,bgrup_1_location_gru_1,45,38.7,23.3,23.1,
4,bgrup_1_coverage_gru_1,41.5,38.1,24.5,23.9,
5,bgrup_1_coverage_location_gru_1,41.2,39.3,22.9,24.1,
6,bgrup_1_location2d_gru_1,38.9,37,23.4,23.2,
7,bgrup_1_location_recurrent_gru_1,43.7,39.8,25.2,25.9,
8,bgrup_1_multi_head_dot_gru_1,47.1,48.3,39.6,32.1,
9,bgrup_1_multi_head_add_gru_1,46.5,43.3,37.6,28.1,
bgrup_1_dot_lstm_1,45.7,48,43.1,31.5,,
2,bgrup_1_add_lstm_1,42.4,39.2,34.1,25.8,
3,bgrup_1_location_lstm_1,50.2,38.6,24.1,23,
4,bgrup_1_coverage_lstm_1,46.6,39.6,23.9,24.8,
5,bgrup_1_coverage_location_lstm_1,40.4,38.8,22.7,24.4,
6,bgrup_1_location2d_lstm_1,44.7,38.1,23.6,23.6,
7,bgrup_1_location_recurrent_lstm_1,44.1,40.9,24.7,24.9,
8,bgrup_1_multi_head_dot_lstm_1,47,41.5,25,26.6,
9,bgrup_1_multi_head_add_lstm_1,46.8,44.9,25,28.8,
blstmp_1_dot_gru_1,49.6,50,37.8,33.8,,
2,blstmp_1_add_gru_1,49.6,46.3,27.5,30.9,
3,blstmp_1_location_gru_1,45.1,48.3,25.7,32.5,
4,blstmp_1_coverage_gru_1,43.8,41.4,25.9,26.6,
5,blstmp_1_coverage_location_gru_1,42.4,40,27.5,26,
6,blstmp_1_location2d_gru_1,42.6,34.4,25.4,22.1,
7,blstmp_1_location_recurrent_gru_1,45.1,40.8,51.8,27.1,
8,blstmp_1_multi_head_dot_gru_1,47.5,42.3,28.6,28.1,
9,blstmp_1_multi_head_add_gru_1,46.1,46.7,39.3,30.3,
blstmp_1_dot_lstm_1,48.6,49.9,37.4,32.1,,
2,blstmp_1_add_lstm_1,45.4,41.2,28.2,27.1,
3,blstmp_1_location_lstm_1,46.6,40.8,25.3,25.6,
4,blstmp_1_coverage_lstm_1,44.6,42.1,25.2,26.5,
5,blstmp_1_coverage_location_lstm_1,42.7,39.5,24.9,25.8,
6,blstmp_1_location2d_lstm_1,46.8,47.1,25.3,31,
7,blstmp_1_location_recurrent_lstm_1,47.1,41.8,28.7,27.4,
8,blstmp_1_multi_head_dot_lstm_1,46.2,43.3,36.5,28.2,
9,blstmp_1_multi_head_add_lstm_1,49.7,49,33.9,32.3,
10,blstmp_1_multi_head_loc_lstm_1,45.4,44.8,25.5,27.2,
vggbgrup_1_dot_gru_1,42.6,40,23.5,23.9,,
2,vggbgrup_1_add_gru_1,39.2,37.8,29.5,22,
3,vggbgrup_1_location_gru_1,38.9,37.6,22.4,21.4,
4,vggbgrup_1_coverage_gru_1,38.8,37.3,22.1,21.4,
5,vggbgrup_1_coverage_location_gru_1,38.4,36.5,21.6,21.3,
6,vggbgrup_1_location2d_gru_1,38.9,36.6,21.8,21.7,
7,vggbgrup_1_location_recurrent_gru_1,39.7,37.6,35.9,21.5,
8,vggbgrup_1_multi_head_dot_gru_1,41.5,39.9,23.3,23.4,
10,vggbgrup_1_multi_head_loc_gru_1,39.9,34.5,21.9,21.7,
vggbgrup_1_dot_lstm_1,41.1,38.6,29,22.5,,
2,vggbgrup_1_add_lstm_1,40.3,37.9,34.2,22.7,
3,vggbgrup_1_location_lstm_1,38.3,36.5,22.4,21.3,
4,vggbgrup_1_coverage_lstm_1,38.8,36.8,21.4,21.7,
5,vggbgrup_1_coverage_location_lstm_1,38.5,36.5,21.7,22.1,
6,vggbgrup_1_location2d_lstm_1,39.5,37.6,21.2,20.8,
7,vggbgrup_1_location_recurrent_lstm_1,40.4,38.5,21.4,22.6,
8,vggbgrup_1_multi_head_dot_lstm_1,42.3,39.4,21.9,23,
10,vggbgrup_1_multi_head_loc_lstm_1,40,34.8,29.8,22,
vggblstmp_1_dot_gru_1,43.1,43.9,23.7,27.6,,
2,vggblstmp_1_add_gru_1,42.3,38.2,22.8,22.7,
3,vggblstmp_1_location_gru_1,40.4,38.1,21.8,21.9,
4,vggblstmp_1_coverage_gru_1,40.9,37.3,22,22.1,
5,vggblstmp_1_coverage_location_gru_1,38.5,36.6,22.5,22.1,
6,vggblstmp_1_location2d_gru_1,40.1,36.4,22,21.9,
7,vggblstmp_1_location_recurrent_gru_1,41.3,38.5,23.6,22,
8,vggblstmp_1_multi_head_dot_gru_1,41.9,39.3,24.3,23.3,
9,vggblstmp_1_multi_head_add_gru_1,43.7,40.8,33.3,25.1,
vggblstmp_1_dot_lstm_1,40.8,39.9,33.4,23.4,,
2,vggblstmp_1_add_lstm_1,41.7,39,25.5,23.5,
3,vggblstmp_1_location_lstm_1,41.1,37,22.4,21.6,
4,vggblstmp_1_coverage_lstm_1,41.3,37.5,21.1,22.5,
5,vggblstmp_1_coverage_location_lstm_1,39.5,38.2,21.7,22.1,
6,vggblstmp_1_location2d_lstm_1,40.5,37.7,21.5,21.4,
7,vggblstmp_1_location_recurrent_lstm_1,43.2,39.2,21.3,23.3,
8,vggblstmp_1_multi_head_dot_lstm_1,42,39.9,22.3,23.6,
9,vggblstmp_1_multi_head_add_lstm_1,43.3,41.3,23.8,25.2,
